X,Y,Z
-14.0,-4.0,0.0
-13.985,-4.0,0.0
-13.969999999999999,-4.0,0.0
-13.954999999999998,-4.0,0.0
-13.939999999999998,-4.0,0.0
-13.924999999999997,-4.0,0.0
-13.909999999999997,-4.0,0.0
-13.894999999999996,-4.0,0.0
-13.879999999999995,-4.0,0.0
-13.864999999999995,-4.0,0.0
-13.849999999999994,-4.0,0.0
-13.834999999999994,-4.0,0.0
-13.819999999999993,-4.0,0.0
-13.804999999999993,-4.0,0.0
-13.789999999999992,-4.0,0.0
-13.774999999999991,-4.0,0.0
-13.759999999999991,-4.0,0.0
-13.74499999999999,-4.0,0.0
-13.72999999999999,-4.0,0.0
-13.71499999999999,-4.0,0.0
-13.699999999999989,-4.0,0.0
-13.684999999999988,-4.0,0.0
-13.669999999999987,-4.0,0.0
-13.654999999999987,-4.0,0.0
-13.639999999999986,-4.0,0.0
-13.624999999999986,-4.0,0.0
-13.609999999999985,-4.0,0.0
-13.594999999999985,-4.0,0.0
-13.579999999999984,-4.0,0.0
-13.564999999999984,-4.0,0.0
-13.549999999999983,-4.0,0.0
-13.534999999999982,-4.0,0.0
-13.519999999999982,-4.0,0.0
-13.504999999999981,-4.0,0.0
-13.48999999999998,-4.0,0.0
-13.47499999999998,-4.0,0.0
-13.45999999999998,-4.0,0.0
-13.444999999999979,-4.0,0.0
-13.429999999999978,-4.0,0.0
-13.414999999999978,-4.0,0.0
-13.399999999999977,-4.0,0.0
-13.384999999999977,-4.0,0.0
-13.369999999999976,-4.0,0.0
-13.354999999999976,-4.0,0.0
-13.339999999999975,-4.0,0.0
-13.324999999999974,-4.0,0.0
-13.309999999999974,-4.0,0.0
-13.294999999999973,-4.0,0.0
-13.279999999999973,-4.0,0.0
-13.264999999999972,-4.0,0.0
-13.249999999999972,-4.0,0.0
-13.234999999999971,-4.0,0.0
-13.21999999999997,-4.0,0.0
-13.20499999999997,-4.0,0.0
-13.18999999999997,-4.0,0.0
-13.174999999999969,-4.0,0.0
-13.159999999999968,-4.0,0.0
-13.144999999999968,-4.0,0.0
-13.129999999999967,-4.0,0.0
-13.114999999999966,-4.0,0.0
-13.099999999999966,-4.0,0.0
-13.084999999999965,-4.0,0.0
-13.069999999999965,-4.0,0.0
-13.054999999999964,-4.0,0.0
-13.039999999999964,-4.0,0.0
-13.024999999999963,-4.0,0.0
-13.009999999999962,-4.0,0.0
-12.994999999999962,-4.0,0.0
-12.979999999999961,-4.0,0.0
-12.96499999999996,-4.0,0.0
-12.94999999999996,-4.0,0.0
-12.93499999999996,-4.0,0.0
-12.919999999999959,-4.0,0.0
-12.904999999999959,-4.0,0.0
-12.889999999999958,-4.0,0.0
-12.874999999999957,-4.0,0.0
-12.859999999999957,-4.0,0.0
-12.844999999999956,-4.0,0.0
-12.829999999999956,-4.0,0.0
-12.814999999999955,-4.0,0.0
-12.799999999999955,-4.0,0.0
-12.784999999999954,-4.0,0.0
-12.769999999999953,-4.0,0.0
-12.754999999999953,-4.0,0.0
-12.739999999999952,-4.0,0.0
-12.724999999999952,-4.0,0.0
-12.709999999999951,-4.0,0.0
