X,Y,Z
-14.0,-4.0,0.192255080158318
-13.985044973544035,-4.000026197250258,0.192255080158318
-13.970088921006885,-4.000052090594728,0.19798934472275834
-13.955132868469736,-4.000077983939199,0.19833599102906213
-13.940176815932587,-4.000103877283669,0.19868263036658557
-13.925220763395437,-4.000129770628139,0.19902926273532856
-13.910264710858288,-4.00015566397261,0.1993758881352911
-13.895308658321138,-4.00018155731708,0.19972250656647325
-13.880355504674514,-4.000208334378459,0.20561976784442515
-13.865402351027889,-4.000235111439838,0.20598008594527084
-13.850449197381264,-4.000261888501217,0.2063403966058156
-13.83549604373464,-4.0002886655625955,0.2067006998260594
-13.820542890088015,-4.000315442623974,0.20706099560600227
-13.80558973644139,-4.000342219685353,0.2074212839456443
-13.790636582794766,-4.000368996746732,0.2077815648449853
-13.775686485420117,-4.00039671204713,0.21385822289873588
-13.760736388045467,-4.000424427347528,0.21423263191605713
-13.745786290670818,-4.000452142647926,0.21460703298537304
-13.730836193296168,-4.000479857948323,0.21498142610668375
-13.715886095921519,-4.000507573248721,0.2153558112799891
-13.70093599854687,-4.000535288549119,0.2157301885052892
-13.68598590117222,-4.000563003849517,0.2161045577825841
-13.67103902332168,-4.000591714499344,0.22236372027932572
-13.656092145471138,-4.0006204251491715,0.2227526540058306
-13.641145267620598,-4.000649135798999,0.22314157923771324
-13.626198389770057,-4.000677846448826,0.22353049597497376
-13.611251511919516,-4.0007065570986535,0.22391940421761208
-13.596304634068975,-4.000735267748481,0.22430830396562823
-13.58136114487852,-4.000765033506212,0.23073781841903043
-13.566417655688063,-4.000794799263944,0.23114172713471876
-13.551474166497607,-4.000824565021675,0.23154562676736157
-13.536530677307152,-4.000854330779407,0.23194951731695868
-13.521587188116696,-4.000884096537138,0.23235339878351027
-13.50664369892624,-4.00091386229487,0.23275727116701608
-13.491700209735784,-4.000943628052601,0.23316113446747633
-13.476760284219866,-4.00097451138048,0.23977871011111862
-13.461820358703948,-4.0010053947083595,0.24019803411390578
-13.44688043318803,-4.0010362780362385,0.24061734840035395
-13.431940507672111,-4.0010671613641176,0.241036652970463
-13.417000582156193,-4.001098044691997,0.2414559478242329
-13.402060656640275,-4.001128928019876,0.2418752329616637
-13.387120731124357,-4.001159811347755,0.24229450838275537
-13.372184550150667,-4.001191877462864,0.24910304587402549
-13.357248369176977,-4.001223943577973,0.24953824119840923
-13.342312188203287,-4.001256009693082,0.2499734261250533
-13.327376007229597,-4.001288075808191,0.2504086006539581
-13.312439826255908,-4.0013201419232995,0.25084376478512327
-13.297503645282218,-4.0013522080384085,0.251278918518549
-13.282571395525208,-4.001385524958502,0.2582646026229612
-13.267639145768198,-4.001418841878596,0.2587161432823191
-13.252706896011189,-4.00145215879869,0.2591676728110169
-13.237774646254179,-4.001485475718784,0.2596191912090547
-13.22284239649717,-4.001518792638878,0.2600706984764324
-13.20791014674016,-4.001552109558972,0.26052219461314996
-13.19297789698315,-4.001585426479066,0.2609736796192075
-13.178049770854958,-4.001620065062548,0.2681553770619755
-13.163121644726766,-4.001654703646031,0.2686237226325211
-13.148193518598575,-4.001689342229513,0.2690920562843739
-13.133265392470383,-4.001723980812995,0.26956037801753374
-13.118337266342191,-4.001758619396478,0.27002868783200085
-13.103409140214,-4.00179325797996,0.2704969857277751
-13.088481014085808,-4.001827896563443,0.2709652717048564
-13.073557209643258,-4.001863930542829,0.27834561163936217
-13.058633405200709,-4.001899964522215,0.27883123873106636
-13.04370960075816,-4.001935998501601,0.27931685305716064
-13.02878579631561,-4.001972032480987,0.27980245461764486
-13.01386199187306,-4.002008066460373,0.2802880434125191
-12.998938187430511,-4.002044100439759,0.2807736194417832
-12.984018908256868,-4.002081606447965,0.2883369799957427
-12.969099629083225,-4.002119112456171,0.2888403850286085
-12.954180349909581,-4.002156618464377,0.2893437763861098
-12.939261070735938,-4.002194124472583,0.2898471540682468
-12.924341791562295,-4.002231630480789,0.29035051807501944
-12.909422512388652,-4.002269136488994,0.29085386840642785
-12.894503233215008,-4.0023066424972,0.2913572050624717
-12.879588688275197,-4.002345700085963,0.29912362140702725
-12.864674143335385,-4.002384757674725,0.2996452808132227
-12.849759598395574,-4.002423815263487,0.3001669255673298
-12.834845053455762,-4.0024628728522496,0.3006885556693482
-12.81993050851595,-4.002501930441012,0.30121017111927834
-12.805015963576139,-4.002540988029774,0.3017317719171199
-12.790101418636327,-4.0025800456185365,0.30225335806287296
-12.775191822104397,-4.002620737268263,0.310225118858254
-12.760282225572466,-4.002661428917989,0.31076552772082033
-12.745372629040535,-4.002702120567715,0.3113059208832939
-12.730463032508604,-4.002742812217441,0.3118462983456745
-12.715553435976673,-4.0027835038671675,0.3123866601079621
-12.700643839444743,-4.002824195516894,0.3129270061701569
-12.685734242912812,-4.00286488716662,0.3134673365322588
-12.670829813970453,-4.002907298286945,0.3216466038555809
